python : import time: self [us] | cumulative | imported package
import time:      1268 |       1268 |             sqlalchemy.engine.row
import time:      2420 |       3688 |           sqlalchemy.engine.result
import time:      1488 |       5175 |         sqlalchemy.engine.cursor
import time:      2840 |       2840 |         sqlalchemy.engine.reflection
import time:       990 |     137944 |       sqlalchemy.engine
import time:       967 |        967 |       sqlalchemy.schema
import time:       687 |        687 |       sqlalchemy.types
import time:       737 |        737 |         sqlalchemy.engine.characteristics
import time:      2134 |       2871 |       sqlalchemy.engine.default
import time:      1357 |     164362 |     sqlalchemy
import time:      1061 |       1061 |                   sqlalchemy.sql._orm_types
import time:      7815 |       8876 |                 sqlalchemy.orm._typing
import time:      2937 |      11812 |               sqlalchemy.orm.base
import time:      1089 |       1089 |               sqlalchemy.orm.mapped_collection
import time:      2529 |      15429 |             sqlalchemy.orm.collections
import time:      1177 |       1177 |               sqlalchemy.orm.path_registry
import time:      2234 |       3411 |             sqlalchemy.orm.interfaces
import time:      4274 |      23113 |           sqlalchemy.orm.attributes
import time:      2862 |      25975 |         sqlalchemy.orm.util
import time:      1220 |      27195 |       sqlalchemy.orm.exc
import time:      1220 |       1220 |           sqlalchemy.orm.state
import time:      1807 |       3026 |         sqlalchemy.orm.instrumentation
import time:       631 |        631 |               sqlalchemy.future.engine
import time:       554 |       1184 |             sqlalchemy.future
import time:      1778 |       2961 |           sqlalchemy.orm.context
import time:      1427 |       4388 |         sqlalchemy.orm.loading
import time:      2662 |       2662 |           sqlalchemy.orm.strategy_options
import time:      2499 |       2499 |           sqlalchemy.orm.descriptor_props
import time:      4248 |       4248 |           sqlalchemy.orm.relationships
import time:      1324 |      10732 |         sqlalchemy.orm.properties
import time:      4427 |      22572 |       sqlalchemy.orm.mapper
import time:      7392 |       7392 |         sqlalchemy.orm.query
import time:       669 |        669 |             sqlalchemy.orm.evaluator
import time:       459 |        459 |               sqlalchemy.orm.sync
import time:       743 |       1201 |             sqlalchemy.orm.persistence
import time:      1336 |       3205 |           sqlalchemy.orm.bulk_persistence
import time:       651 |        651 |           sqlalchemy.orm.identity
import time:       836 |        836 |           sqlalchemy.orm.state_changes
import time:       830 |        830 |           sqlalchemy.orm.unitofwork
import time:      3454 |       8974 |         sqlalchemy.orm.session
import time:      1702 |      18068 |       sqlalchemy.orm._orm_constructors
import time:       926 |        926 |         sqlalchemy.orm.clsregistry
import time:      1882 |       1882 |         sqlalchemy.orm.decl_base
import time:      1617 |       4424 |       sqlalchemy.orm.decl_api
import time:      1895 |       1895 |           sqlalchemy.orm.strategies
import time:      1062 |       2957 |         sqlalchemy.orm.writeonly
import time:       992 |       3949 |       sqlalchemy.orm.dynamic
import time:      1019 |       1019 |         sqlalchemy.orm.scoping
import time:      6219 |       7238 |       sqlalchemy.orm.events
import time:      1028 |       1028 |       sqlalchemy.orm.dependency
import time:      1263 |      85734 |     sqlalchemy.orm
import time:      1619 |       1619 |                   dotenv.parser
import time:       813 |        813 |                   dotenv.variables
import time:      1012 |       3443 |                 dotenv.main
import time:       571 |       4014 |               dotenv
import time:       608 |        608 |               pydantic_settings.utils
import time:      1028 |       5648 |             pydantic_settings.sources
import time:      1264 |       6912 |           pydantic_settings.main
import time:       606 |        606 |           pydantic_settings.version
import time:       619 |       8135 |         pydantic_settings
import time:      2067 |      10202 |       app.core.config
import time:       432 |        432 |           sqlalchemy.dialects.postgresql.operators
import time:       973 |       1404 |         sqlalchemy.dialects.postgresql.array
import time:       756 |        756 |           sqlalchemy.dialects.postgresql.json
import time:      2072 |       2072 |           sqlalchemy.dialects.postgresql.ranges
import time:      1767 |       1767 |               sqlalchemy.dialects.postgresql.types
import time:      6472 |       8238 |             sqlalchemy.dialects.postgresql.pg_catalog
import time:      1593 |       1593 |             sqlalchemy.dialects.postgresql.ext
import time:      1439 |       1439 |             sqlalchemy.dialects.postgresql.hstore
import time:      1146 |       1146 |             sqlalchemy.dialects.postgresql.named_types
import time:      5786 |      18201 |           sqlalchemy.dialects.postgresql.base
import time:      1830 |      22858 |         sqlalchemy.dialects.postgresql.asyncpg
import time:      1693 |       1693 |         sqlalchemy.dialects.postgresql.pg8000
import time:       797 |        797 |           sqlalchemy.dialects.postgresql._psycopg_common
import time:      1496 |       2292 |         sqlalchemy.dialects.postgresql.psycopg
import time:       957 |        957 |         sqlalchemy.dialects.postgresql.psycopg2
import time:       535 |        535 |         sqlalchemy.dialects.postgresql.psycopg2cffi
import time:       603 |        603 |           sqlalchemy.dialects._typing
import time:      1174 |       1777 |         sqlalchemy.dialects.postgresql.dml
import time:      1099 |      32613 |       sqlalchemy.dialects.postgresql
import time:       709 |        709 |           psycopg2.errors
import time:      5151 |       5859 |         psycopg2._psycopg
import time:       864 |        864 |           psycopg2._json
import time:      2222 |       2222 |           psycopg2._range
import time:      1488 |       4573 |         psycopg2.extensions
import time:       856 |      11287 |       psycopg2
import time:       779 |        779 |         psycopg2._ipaddress
import time:      3087 |       3865 |       psycopg2.extras
import time:       754 |        754 |         jose.exceptions
import time:       791 |       1545 |       jose
import time:       544 |        544 |                           cryptography.__about__
import time:       634 |       1177 |                         cryptography
import time:       677 |       1854 |                       cryptography.utils
